"","workerId","learn.success","num.learn.trials",".id","round","ip","leftLabel","condition","permutation"
"1","A101WUMP4O5DY7",1,108,"3OVHNO1VE619UHMGRGWVD98H3UXZDN.json","07","69.247.17.92","B","ms","0101"
"2","A10Z7NLSO1VS9P",1,135,"3E7TUJ2EGCMUOQ43NI2W0L6OOSBD9Q.json","07","97.96.238.204","A","ms","1001"
"3","A11ED29FYJKV2E",1,135,"3RSDURM96AMEHXQBRP5W5KH0XDVYER.json","07","73.52.138.66","A","ms","1111"
"4","A11U6P6DNSWC6R",0,144,"3GA6AFUKOOOPL4KPS5KC0TI0GPQ3HY.json","07","71.95.70.113","B","opt-total","1100"
"5","A12GVRSR9VNATY",1,81,"38YMOXR4MUZ6FD2W664A8Z4755F6WJ.json","07","2602:306:cd8a:4a40:c00:cf99:f88a:6f6f","B","ms","0011"
"6","A169LNZMT64BGG",1,63,"3D4CH1LGEATX0AEUP834669L1JNG9X.json","07","108.231.94.61","B","ms","0001"
"7","A19CA1G04F23NN",0,144,"3TYCR1GOTCJSSTA84XUJWMGMC2ALZY.json","07","71.49.82.198","A","ms","0001"
"8","A19TXY29TBNDJ2",0,144,"37Q970SNZE8I1AKQGVISGEA5RIQ1SQ.json","07","66.115.58.210","B","ms","0111"
"9","A1BHVRE037LMAY",0,144,"3N1FSUEFL50TRKYR6N65JDV82ZP4DB.json","07","71.189.6.166","A","ms","0011"
"10","A1DDPSGI2AH4EO",1,72,"39GXDJN2OTEG42LF9BWC6BHK4SR8VN.json","07","24.61.128.48","A","ms","0011"
"11","A1E61ECTVM0HOO",0,144,"39PAAFCODM0Z2MD3C977X7D7I4PVTA.json","07","173.174.251.7","B","ms","0011"
"12","A1FR532O8LE1W",0,144,"39O5D9O87TSY4W996D6BP2LK3YX3C3.json","07","69.23.224.243","A","ms","1001"
"13","A1GTYHV8OYQQLV",0,144,"39GHHAVOMFR6U6YJGJSGMBQL7HN4JM.json","07","98.21.243.101","A","opt-total","0010"
"14","A1HERDHL8JY0CZ",0,144,"3E47SOBEYQWDUZRSRGDYT8N9MHJCI3.json","07","66.126.45.71","B","ms","0011"
"15","A1I7NW0062RB0X",1,99,"339ANSOTR52VDX3GJTUWHR0HRP0KIU.json","07","73.5.167.102","A","ms","1011"
"16","A1NAKFX8ENJCV2",0,144,"3ZY8KE4ISJ3MA6LBV5DCS22KYY8QVB.json","07","68.45.235.170","A","ms","0111"
"17","A1NQZSUQPL4K17",1,27,"3AWETUDC92SQ2S22JUX646OUVZ3ZIN.json","07","49.204.205.100","A","ms","0101"
"18","A1O81SOPKHK5RZ",1,90,"3RRCEFRB7MC0CN07SRFZON78ZCDB47.json","07","74.176.241.39","A","ms","0011"
"19","A1O91H967017FL",1,72,"3DPNQGW4LLFU6BJCW0YRD7LGLD564O.json","07","72.12.205.126","A","opt-total","1110"
"20","A1OL25WY0BYMMH",1,72,"3RXPCZQMQPBFB5BZLVOBR0R23691GH.json","07","74.62.120.82","B","opt-total","0100"
"21","A1PUIGT83JOHH6",0,144,"3JPSL1DZ5SZHFL5L4IUZSLT28C0ANL.json","07","71.204.156.216","B","opt-total","0010"
"22","A1R08EZI5C4YS2",1,63,"3KRVW3HTZNLFXZ6F9H1Q06Y8PTPSMT.json","07","99.174.192.186","A","ms","0111"
"23","A1S278YWEAUT52",1,63,"3R6P78PK7KBGKPN8NE8LX6AXVOQTG6.json","07","24.164.64.5","B","ms","0111"
"24","A1SWC3GHKGILLF",1,72,"3OSWBBLG1EXKPMM1QY8AGOS6VSYXDJ.json","07","24.136.170.193","A","opt-total","0010"
"25","A1TLZKZ2BM5ZLE",1,45,"3LYA37P8IQNLQPPADJ2FV4W4W08BK6.json","07","2601:1:c100:20b0:605b:7070:7e70:6b16","B","ms","1111"
"26","A1UL8XW5GSWYAA",0,144,"3E337GFOL98IPCIOQIM9O745683GNV.json","07","70.91.247.29","B","ms","0111"
"27","A1UPI4CV8F6ZWD",1,117,"3ZR9AIQJUB9ZS0XXUBIA46BP8AL40N.json","07","199.66.240.22","B","opt-total","0110"
"28","A1UWFHOE9FCLRX",0,144,"3NKQQ8O39Y5S8IS6LTXNWHT21DKDUG.json","07","40.132.18.82","B","ms","1011"
"29","A1W9HHRKSUM956",1,117,"3VNXK88KKCIGI74PE32Q67CVOXJ9VL.json","07","70.36.206.205","B","opt-total","0010"
"30","A1YX741QQSMKPS",1,36,"35GMH2SV3EH2NJM9L2WY3TJYJ14OEA.json","07","70.191.119.109","B","opt-total","1100"
"31","A1ZXHKM0NSJ0EX",0,144,"3IO1LGZLK9XVPC6E83O4UJ1LNYB865.json","07","2601:d:c880:ab8:58d5:18fa:2005:8c8d","A","ms","1011"
"32","A22FH2RFR7YUW3",1,72,"3A9AA95ATWMKC05HP1GAOZIBGCO5PS.json","07","99.157.17.210","B","opt-total","0000"
"33","A24DX17H83SMV0",1,36,"3M1CVSFP6052IIIDKAMGWFO7DPGAQ5.json","07","50.251.146.25","A","ms","1111"
"34","A26KZCIEFS3FTW",0,144,"3FUI0JHJPXYARWDQDKVAWZHQXLO339.json","07","69.49.83.174","A","ms","1001"
"35","A28P98Y9HZXPCL",1,117,"3C2NJ6JBKAHSAIAHR31KM3A4WOB2N9.json","07","192.246.231.74","A","opt-total","1110"
"36","A2A5BJV0UA4QKO",0,144,"3UN61F00HWP5ODLW2TKZTUIQHWGR5E.json","07","100.39.58.99","A","ms","0011"
"37","A2A9A811YTJUMZ",1,117,"3DH6GAKTYYPCSSH7NCJ9QUIILHCYZ1.json","07","72.54.1.129","B","ms","0011"
"38","A2AG0341RLZ2L8",1,54,"36TFCYNS44A112R3CUR07974NNUHXL.json","07","97.80.132.170","A","opt-total","1000"
"39","A2AGQGMZVSZVUJ",0,144,"3J88R45B2GYTEJPRV7Z5GI9V9CCPX2.json","07","71.93.210.38","A","opt-total","1010"
"40","A2BN2BM2ZGA9Z5",1,27,"3PJUZCGDJ6GI7V8C6ARGETSNDZM98K.json","07","174.107.115.207","A","opt-total","1110"
"41","A2CO4FQCSJD84S",1,126,"3QY5DC2MXRKP6262CZSDKHWNDQZFUS.json","07","72.234.123.87","A","opt-total","1100"
"42","A2GTXLDFZVMSG9",1,81,"3QJOXOW4XJRENG1X8MHLBPUTO1QMEU.json","07","71.239.224.30","B","ms","0001"
"43","A2IJKLAG3EYISE",1,135,"3J88R45B2GYTEJPRV7Z5GI9V9E4XP6.json","07","73.182.52.175","B","ms","1111"
"44","A2J2MYE6ZWJFZ4",1,135,"3LS2AMNW5FQRKMCEUTRYXA8C23EQO8.json","07","207.182.37.4","A","opt-total","0000"
"45","A2J6T9ELNZ97JH",1,126,"3DYGAII7PL895MOF9T4DMAD2CAFQPY.json","07","205.178.105.6","A","opt-total","0100"
"46","A2JTERL2XDB6WB",1,108,"338JKRMM26ZP5PJA1KZMN1W6MZFAHY.json","07","63.152.209.18","A","opt-total","0100"
"47","A2MACDVP9MWKHA",1,126,"3M23Y66PO27D8WLNM1U9BA1MZSL6S6.json","07","174.226.0.184","A","ms","0111"
"48","A2MFRGKYQYXMSD",1,54,"3NXNZ5RS1AXE7H3TW5ZA0TWS2E579I.json","07","108.24.50.175","A","opt-total","0110"
"49","A2P1ZOAA5DV69P",0,144,"3J88R45B2GYTEJPRV7Z5GI9V9DWPXO.json","07","216.49.44.53","A","ms","1001"
"50","A2P6VK1US8OTC5",1,72,"3VW6495TLJ0CN272RQHQCN9GFOXYY1.json","07","24.180.228.244","A","opt-total","1110"
"51","A2QDUKH5062ZMP",0,144,"3JRJSWSMQHLD1UTN24C6FQLNO9V3EF.json","07","76.181.116.82","B","ms","1001"
"52","A2QPJN3LPGTPDU",0,144,"3D8YOU6S9EKTN9DRB6P9QBJAKQO6U6.json","07","24.233.244.64","A","opt-total","0110"
"53","A2RKP4UR1OML62",1,135,"3M0BCWMB8VWCLPJR2XLIJFQZJ6RBWA.json","07","2601:8:b200:5e3:129a:ddff:febe:3784","B","ms","0111"
"54","A2SFEEI806WFP9",0,144,"39GAF6DQWR0YT21UAQNXR1UCQKMV1N.json","07","66.66.4.186","A","ms","0001"
"55","A2SS3QJKK1MVNE",0,144,"3S4AW7T80BICPWMJJ44T2Q3DB8VL4C.json","07","209.33.39.93","A","ms","1111"
"56","A2TL18J7K3G2A3",1,54,"369J354OFDAAIRCWR10SMWIJBIG6GD.json","07","88.236.134.238","B","opt-total","0000"
"57","A2UA7LY48WTQHD",0,144,"32N49TQG3GIUNQEU69GQ22NFUESVAB.json","07","99.7.198.140","A","opt-total","0110"
"58","A2VDVFA2XQEFPO",0,144,"3P59JYT76LKQ5VF1OZNWV2GWL7LT2R.json","07","100.37.73.237","B","ms","0011"
"59","A2WGP2Y7CWVIGC",1,18,"3V5Q80FXIXRL6EH79KH5DPCYR8132D.json","07","198.160.80.156","B","ms","1011"
"60","A2YNQG5GOYP1CO",1,72,"3WI0P0II61S0SQ0PHZ2IR66IUB9DRZ.json","07","172.8.208.239","B","ms","0011"
"61","A2YR2UHL8622D",1,144,"326O153BMIYBJMVKVTIISZ7ZFPPDEY.json","07","67.189.55.177","B","opt-total","0110"
"62","A2Z9PQMLGDF60M",1,63,"3KB8R4ZV1E7GO3TRNSH0XC4BPKTGBC.json","07","71.181.168.18","A","ms","1101"
"63","A30OOETQPWFPHK",1,81,"31HQ4X3T3SAVRHOU950B0TJJPMVSLJ.json","07","96.31.206.12","B","opt-total","1000"
"64","A31LJ9EUCB7DUK",1,36,"3IUZPWIU1O7DESNL8AYBII9P62RWKA.json","07","97.100.22.229","A","opt-total","1000"
"65","A3393HRM9KT2FG",1,81,"3KRVW3HTZNLFXZ6F9H1Q06Y8PUQMSQ.json","07","2601:1:9d00:2fd0:4593:3f6d:6628:e396","A","ms","0001"
"66","A34I6E54TMHXC6",1,45,"3TOK3KHVJTIHE47ZYUISXJRHXGS7O3.json","07","128.187.191.255","B","opt-total","0010"
"67","A34YD9P7KI4RF",1,144,"3NGI5ARFTT5LOI4YOEEYL95U4WMP1X.json","07","50.38.117.13","B","opt-total","0010"
"68","A36O1NQ06CVUWS",1,135,"3RYC5T2D73T9HN3FM8TDR0N78VPPR4.json","07","192.48.80.112","A","opt-total","1100"
"69","A36T25VUSZLIFO",1,126,"32N49TQG3GIUNQEU69GQ22NFUHVAVZ.json","07","184.4.12.236","B","ms","0011"
"70","A37M6Z8MFWQRRI",0,144,"3ZAK8W07I4EY9YRC9H9SHA9J7N7U0Y.json","07","50.194.239.33","B","ms","1101"
"71","A3A5E780IXY11R",1,117,"3PM8NZGV8YGEEVQ6VKEUGNZ5E8XQXT.json","07","67.48.254.133","A","opt-total","1100"
"72","A3A9QMKV2U1P76",1,99,"317HQ483I7SWL3OJG6MC9JHLLJWINM.json","07","173.215.2.180","B","opt-total","0010"
"73","A3BXZOIFOIJ8WT",1,90,"3VD82FOHKQONQL2VPBQ3D5JVYRJOCD.json","07","198.37.20.86","B","opt-total","0000"
"74","A3CIUPLZ6614U2",0,144,"3VELCLL3GKJ9X5F4ABIT9FRQ2QY1F5.json","07","69.137.5.160","A","ms","0111"
"75","A3CYEKT7TL1JNJ",0,144,"37U1UTWH9VMOBV4Y0RR25ESHJLRR8O.json","07","104.153.30.41","A","opt-total","1010"
"76","A3H9PXHKC9MKUN",0,144,"3YDGXNSEOZUHAP20PFVPXLH7R6X84A.json","07","24.154.206.219","A","ms","0001"
"77","A3HBRG134LXQ6D",1,117,"3GDTJDAPVUBXEFR6VJVLJFY7DYPM8S.json","07","50.83.59.237","A","opt-total","0110"
"78","A3HGWDE5M201ZV",0,144,"35GCEFQ6I5OBCPKJYRQJ00M5CH73ZS.json","07","24.74.147.4","A","opt-total","0010"
"79","A3I7CIJJ644RPP",0,144,"3IQ1VMJRYTKWQJ1R38BUAKYI3O49A8.json","07","97.82.16.138","B","ms","1001"
"80","A3JJW9NAHQLK3Q",1,72,"3D4CH1LGEATX0AEUP834669L1IW9GX.json","07","97.93.44.76","A","opt-total","1010"
"81","A3LX3GRDAZTKPP",1,81,"3KAKFY4PGU2PHZV9YN2X05JFG44I39.json","07","23.241.23.143","B","ms","1001"
"82","A3M4T4G9YA061U",1,81,"3TY7ZAOG5FKK62M0F35QBN0L5U60K0.json","07","197.134.127.250","A","opt-total","0110"
"83","A3ODF7V44YBM4T",0,144,"3CN4LGXD5XOWPVTI2JTJWY59KL0Y4E.json","07","23.18.48.36","B","opt-total","0000"
"84","A3P2CJ0JSJP26L",1,54,"39L1G8WVWQREHTZBQGHR862TZ2S311.json","07","24.158.78.178","A","opt-total","1110"
"85","A3POH7948KWXCF",1,18,"3U4J9857OEBXVAIQUPD6RZRIQE3B7R.json","07","74.138.236.47","B","opt-total","0010"
"86","A3SIA819DK0PZ8",1,108,"3LPW2N6LKT2X45DD6NF4Y55AOTF5UN.json","07","8.28.150.76","A","opt-total","1000"
"87","A3TB3KKMGTQ52P",1,144,"3X08E93BHVI8LYNQFOR6A55UH46664.json","07","75.173.229.78","B","ms","1001"
"88","A3USS4O0RQZ37K",0,144,"39OWYR0EPKR6NBQ7M0P2N2209D0FYE.json","07","75.181.156.204","B","opt-total","1000"
"89","A3WKIEI1VKIG3",1,54,"3DL65MZB8DF1EUP6VXN78TPHUPFEC1.json","07","128.163.7.132","A","opt-total","0000"
"90","A4TE7LF9CEVGA",0,144,"39RP059MEHTGGDPDYVFVAHO8L4BBMH.json","07","2602:304:2889:2950:85cf:59e6:1323:3c51","B","ms","0111"
"91","A5KRNRW5B5UMA",1,36,"3W8CV64QJ2ZB06959ELMR6LMGIB9HY.json","07","184.88.224.215","B","ms","0111"
"92","A7GBZ0M82OYXU",0,144,"34MAJL3QP4NV9SWUDY0T649WBK343C.json","07","71.203.189.83","A","opt-total","0110"
"93","A7N1ZPGLAA0BC",0,144,"3JZQSN0I3QA61K57SU3WG2VW4IKGFT.json","07","96.249.231.171","A","ms","1011"
"94","A93KYHGAVEIYL",1,117,"30JNVC0OR9KHS5QRQGW8D1BBQK6QHW.json","07","12.132.189.26","A","opt-total","1110"
"95","A9MUB82E1XER4",1,72,"3QUO65DNQUOJCFJVB2B37B515PZOUS.json","07","67.251.125.186","B","opt-total","0000"
"96","AA0M62UYXC0TV",1,81,"3SNVL38CI4S40UHGRJYA6O2MEJ5CK7.json","07","108.56.14.157","A","opt-total","0010"
"97","AAXANFWPCIKUC",0,144,"3ZOTGHDK5IB3X2RRMXG3SANDKSDSOF.json","07","216.49.154.98","B","ms","1011"
"98","AC3P5IVOMONFB",1,36,"3ON104KXQKWS0QYINIBVB1KT9G1W4K.json","07","184.19.223.168","B","opt-total","0100"
"99","ACLCFPUQWV591",1,99,"3FTYUGLFSULBN32RKSPFO51M2WVD52.json","07","162.27.9.20","B","ms","0101"
"100","AEZ4FTIL56C8O",1,135,"3U5JL4WY5K97PQ38XN7HDKY0IF24XA.json","07","108.32.197.203","A","ms","0011"
"101","AGCZJRTLMEH4L",1,36,"39GXDJN2OTEG42LF9BWC6BHK4R28VW.json","07","70.177.230.206","B","opt-total","1110"
"102","AJSY2V8S109EK",0,144,"3IXQG4FA2TY19T6J9MBQ5VIOL7Y9BE.json","07","75.110.6.11","A","opt-total","1000"
"103","AKC1L4IW6DG7Z",0,144,"3X0H8UUIT1OB2B0TDJ7D940ZNV1WSM.json","07","64.83.242.194","B","ms","0011"
"104","ANL5RNW27T90L",1,99,"3DR23U6WE5EI0BRHHJIXX3PLIBFTEZ.json","07","50.138.57.155","A","opt-total","1110"
"105","AO7FM98CP90CL",1,72,"3GA6AFUKOOOPL4KPS5KC0TI0GRMH3C.json","07","50.11.31.46","B","opt-total","1110"
"106","AON1T94RODVW2",1,18,"352YTHGROVDA303TSJPVAYA6UST4HX.json","07","66.29.190.61","A","ms","0111"
"107","AP2HB33HRZFGP",0,144,"3R2PKQ87NW8Q3L3J457CW4SLGWPMIZ.json","07","72.87.155.80","B","ms","1001"
"108","APAS6TOF2VKPO",1,63,"3N2BF7Y2VQUQ7QSZYNPRWSR6GG4HMP.json","07","24.189.140.68","A","ms","0011"
"109","AQC0SZA1E9QO7",1,126,"3RUIQRXJBBO8N4T4PW3AO75OXUMLL1.json","07","192.182.49.1","B","ms","0101"
"110","AQIRBIW11DAM1",0,144,"3X65QVEQI0NFK0ZYCJABLOF13L8CLC.json","07","71.172.188.241","B","ms","0101"
"111","AQZJGB10SH41L",1,135,"39GHHAVOMFR6U6YJGJSGMBQL7IZ4J0.json","07","75.168.25.138","A","opt-total","1110"
"112","ASSJM11NPWHSE",1,117,"3OUYGIZWR7YLHTJGSVAY74MKZ4GP0U.json","07","99.249.27.71","B","ms","1111"
"113","AT3C00TKZK13L",1,99,"384PI804XS1IULZ8KCES29RVMOIS08.json","07","201.157.3.162","B","opt-total","1110"
"114","ATV65PFDODC08",1,90,"3MAOD8E57QATBYDEFSMDCT409YSXNX.json","07","2001:558:6003:1c:9e5:397:8f66:97c0","A","opt-total","1000"
"115","AU3327LWY4SU1",0,144,"39L1G8WVWQREHTZBQGHR862TZ13138.json","07","64.130.139.175","B","ms","0101"
"116","AX3BTLTHKLPX",1,63,"3K9FOBBF2HJYB4WP19JP1Z9D2NOLN1.json","07","12.227.193.130","B","ms","1011"
"117","AYYL6SPHBIWB",1,72,"3TPZPLC3M0CHYLIDBISH92KR2GZ3P2.json","07","71.195.24.195","A","opt-total","0100"
"118","AZ7AXGK37ODU2",1,63,"3M0NZ3JDP1YEQ47NCAECFXKPQDTZ59.json","07","70.172.244.124","B","ms","0111"
"119","AZEVSTNXMQOM6",1,117,"3H0W84IWBK25KWEPDUD2XOO3UPCREC.json","07","165.155.208.101","B","opt-total","0010"
